,Start,End
72,2018-11-05 13:05:41.991230,2018-11-05 13:05:42.161719
73,2018-11-05 13:05:22.715171,2018-11-05 13:05:41.201718
74,2018-11-05 13:05:41.390338,2018-11-05 13:05:41.793546
75,2018-11-05 13:05:41.991230,2018-11-05 13:05:42.161719
76,2018-11-05 13:05:22.715171,2018-11-05 13:05:41.201718
77,2018-11-05 13:05:41.390338,2018-11-05 13:05:41.793546
78,2018-11-05 13:05:41.991230,2018-11-05 13:05:42.161719
79,2018-11-05 13:05:22.715171,2018-11-05 13:05:41.201718
80,2018-11-05 13:05:41.390338,2018-11-05 13:05:41.793546
81,2018-11-05 13:05:41.991230,2018-11-05 13:05:42.161719
82,2018-11-05 13:05:22.715171,2018-11-05 13:05:41.201718
83,2018-11-05 13:05:41.390338,2018-11-05 13:05:41.793546
84,2018-11-05 13:05:41.991230,2018-11-05 13:05:42.161719
85,2018-11-05 13:05:22.715171,2018-11-05 13:05:41.201718
86,2018-11-05 13:05:41.390338,2018-11-05 13:05:41.793546
87,2018-11-05 13:05:41.991230,2018-11-05 13:05:42.161719
88,2018-11-05 13:05:22.715171,2018-11-05 13:05:41.201718
89,2018-11-05 13:05:41.390338,2018-11-05 13:05:41.793546
90,2018-11-05 13:05:41.991230,2018-11-05 13:05:42.161719
91,2018-11-05 13:05:22.715171,2018-11-05 13:05:41.201718
92,2018-11-05 13:05:41.390338,2018-11-05 13:05:41.793546
93,2018-11-05 13:05:41.991230,2018-11-05 13:05:42.161719
94,2018-11-05 13:05:22.715171,2018-11-05 13:05:41.201718
95,2018-11-05 13:05:41.390338,2018-11-05 13:05:41.793546
96,2018-11-05 13:05:41.991230,2018-11-05 13:05:42.161719
97,2018-11-05 13:05:22.715171,2018-11-05 13:05:41.201718
98,2018-11-05 13:05:41.390338,2018-11-05 13:05:41.793546
99,2018-11-05 13:05:41.991230,2018-11-05 13:05:42.161719
100,2018-11-05 13:05:22.715171,2018-11-05 13:05:41.201718
101,2018-11-05 13:05:41.390338,2018-11-05 13:05:41.793546
102,2018-11-05 13:05:41.991230,2018-11-05 13:05:42.161719
103,2018-11-05 13:05:22.715171,2018-11-05 13:05:41.201718
104,2018-11-05 13:05:41.390338,2018-11-05 13:05:41.793546
105,2018-11-05 13:05:41.991230,2018-11-05 13:05:42.161719
106,2018-11-05 13:05:22.715171,2018-11-05 13:05:41.201718
107,2018-11-05 13:05:41.390338,2018-11-05 13:05:41.793546
108,2018-11-05 13:05:41.991230,2018-11-05 13:05:42.161719
109,2018-11-05 13:05:22.715171,2018-11-05 13:05:41.201718
110,2018-11-05 13:05:41.390338,2018-11-05 13:05:41.793546
111,2018-11-05 13:05:41.991230,2018-11-05 13:05:42.161719
112,2018-11-05 13:05:22.715171,2018-11-05 13:05:41.201718
113,2018-11-05 13:05:41.390338,2018-11-05 13:05:41.793546
114,2018-11-05 13:05:41.991230,2018-11-05 13:05:42.161719
115,2018-11-05 13:05:22.715171,2018-11-05 13:05:41.201718
116,2018-11-05 13:05:41.390338,2018-11-05 13:05:41.793546
117,2018-11-05 13:05:41.991230,2018-11-05 13:05:42.161719
118,2018-11-05 13:05:22.715171,2018-11-05 13:05:41.201718
119,2018-11-05 13:05:41.390338,2018-11-05 13:05:41.793546
120,2018-11-05 13:05:41.991230,2018-11-05 13:05:42.161719
121,2018-11-05 13:05:22.715171,2018-11-05 13:05:41.201718
122,2018-11-05 13:05:41.390338,2018-11-05 13:05:41.793546
123,2018-11-05 13:05:41.991230,2018-11-05 13:05:42.161719
124,2018-11-05 13:05:22.715171,2018-11-05 13:05:41.201718
125,2018-11-05 13:05:41.390338,2018-11-05 13:05:41.793546
126,2018-11-05 13:05:41.991230,2018-11-05 13:05:42.161719
127,2018-11-05 13:05:22.715171,2018-11-05 13:05:41.201718
128,2018-11-05 13:05:41.390338,2018-11-05 13:05:41.793546
129,2018-11-05 13:05:41.991230,2018-11-05 13:05:42.161719
130,2018-11-05 13:05:22.715171,2018-11-05 13:05:41.201718
131,2018-11-05 13:05:41.390338,2018-11-05 13:05:41.793546
132,2018-11-05 13:05:41.991230,2018-11-05 13:05:42.161719
133,2018-11-05 13:05:22.715171,2018-11-05 13:05:41.201718
134,2018-11-05 13:05:41.390338,2018-11-05 13:05:41.793546
135,2018-11-05 13:05:41.991230,2018-11-05 13:05:42.161719
136,2018-11-05 13:05:46.149567,2018-11-05 13:05:50.473814
137,2018-11-05 13:05:22.715171,2018-11-05 13:05:41.201718
